iter	Passed	Remaining
0	35	35693
1	66	33369
2	97	32411
3	125	31137
4	152	30328
5	180	29905
6	209	29664
7	237	29481
8	265	29186
9	295	29213
10	323	29098
11	353	29102
12	380	28864
13	410	28896
14	440	28931
15	467	28771
16	496	28726
17	525	28669
18	553	28583
19	581	28471
20	609	28394
21	637	28349
22	664	28212
23	693	28210
24	722	28160
25	749	28087
26	777	28011
27	805	27951
28	833	27916
29	860	27833
30	889	27795
31	916	27738
32	945	27703
33	973	27647
34	1000	27576
35	1031	27613
36	1061	27617
37	1089	27586
38	1117	27529
39	1146	27519
40	1174	27467
41	1201	27403
42	1230	27376
43	1258	27350
44	1286	27309
45	1314	27266
46	1344	27255
47	1372	27222
48	1399	27167
49	1428	27133
50	1455	27088
51	1483	27049
52	1512	27017
53	1542	27016
54	1569	26970
55	1598	26944
56	1626	26902
57	1656	26908
58	1690	26956
59	1716	26899
60	1745	26865
61	1773	26826
62	1800	26783
63	1830	26767
64	1857	26719
65	1885	26680
66	1914	26661
67	1943	26634
68	1975	26653
69	2002	26611
70	2032	26599
71	2065	26625
72	2093	26587
73	2122	26555
74	2151	26539
75	2180	26510
76	2209	26484
77	2237	26449
78	2271	26476
79	2298	26431
80	2327	26405
81	2358	26409
82	2388	26390
83	2416	26349
84	2443	26308
85	2471	26271
86	2499	26234
87	2529	26218
88	2557	26181
89	2585	26144
90	2615	26121
91	2642	26083
92	2671	26056
93	2700	26029
94	2730	26012
95	2758	25973
96	2788	25958
97	2816	25927
98	2848	25923
99	2875	25876
100	2905	25858
101	2933	25830
102	2961	25788
103	2989	25756
104	3018	25730
105	3050	25725
106	3079	25701
107	3107	25669
108	3135	25628
109	3162	25587
110	3192	25570
111	3220	25535
112	3257	25572
113	3285	25536
114	3312	25491
115	3340	25459
116	3368	25423
117	3397	25391
118	3426	25370
119	3453	25328
120	3478	25266
121	3505	25228
122	3533	25194
123	3560	25156
124	3590	25131
125	3619	25103
126	3645	25062
127	3673	25026
128	3702	24997
129	3729	24957
130	3759	24940
131	3790	24922
132	3819	24897
133	3848	24868
134	3877	24845
135	3905	24811
136	3934	24783
137	3961	24747
138	3989	24711
139	4018	24686
140	4050	24676
141	4081	24663
142	4109	24627
143	4137	24595
144	4165	24562
145	4193	24531
146	4222	24501
147	4250	24466
148	4279	24443
149	4306	24402
150	4334	24371
151	4357	24310
152	4386	24282
153	4414	24250
154	4441	24213
155	4470	24189
156	4498	24153
157	4526	24123
158	4554	24088
159	4582	24060
160	4611	24030
161	4638	23992
162	4666	23960
163	4693	23925
164	4722	23900
165	4750	23865
166	4777	23831
167	4805	23799
168	4832	23764
169	4860	23729
170	4890	23706
171	4917	23674
172	4942	23629
173	4970	23593
174	4991	23531
175	5022	23513
176	5055	23505
177	5077	23446
178	5104	23414
179	5133	23384
180	5161	23353
181	5188	23321
182	5217	23292
183	5244	23258
184	5271	23221
185	5292	23161
186	5315	23111
187	5344	23083
188	5362	23010
189	5384	22953
190	5404	22891
191	5432	22859
192	5460	22834
193	5489	22806
194	5514	22764
195	5542	22733
196	5561	22670
197	5590	22645
198	5611	22587
199	5638	22555
200	5665	22521
